MEM = MEAN
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
133.29,14806.01,-65.19,-75.09,244.37,20.19,-0.00
122.68,15294.68,-65.96,-79.93,246.72,20.14,-0.00
112.48,15783.58,-66.74,-91.27,248.40,17.72,-0.00
104.41,16272.81,-65.65,-95.66,223.42,11.05,-0.00
97.15,16758.85,-66.40,-89.70,145.06,9.74,-0.00
89.61,17237.99,-69.78,-88.31,128.55,10.41,-0.00
82.20,17711.71,-72.19,-87.29,157.13,6.54,-0.00
75.55,18185.04,-72.00,-86.95,206.96,4.20,-0.00
70.02,18661.30,-69.49,-87.54,308.18,3.22,-0.00
65.62,19140.95,-64.92,-88.61,1.11,8.00,-0.00
61.01,19623.02,-62.53,-89.27,39.82,9.44,-0.00
56.35,20106.98,-61.38,-89.78,87.20,13.78,-0.00
51.69,20590.41,-63.92,-90.23,103.63,19.63,-0.00


MEM = 007
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
972.52,-999.00,33.17,16.67,177.10,9.45,-999.00
969.69,344.32,32.92,16.02,173.60,9.83,-0.34
961.97,418.27,32.17,15.64,174.52,11.44,-0.33
951.45,518.96,31.16,15.41,175.40,12.14,-0.32
938.44,647.01,29.91,15.16,176.23,12.55,-0.31
922.48,807.71,28.36,14.82,177.06,12.83,-0.29
902.12,1011.39,26.37,14.30,177.88,13.07,-0.28
877.23,1260.10,23.75,14.33,177.72,13.26,-0.26
852.27,1514.51,21.32,11.45,186.36,13.24,-0.24
825.62,1756.21,20.68,-1.15,198.35,13.15,-0.22
801.95,2003.72,20.40,-3.54,199.37,12.53,-0.20
777.37,2258.13,19.58,-5.29,203.67,12.10,-0.18
744.83,2635.68,17.36,-8.17,211.44,12.72,-0.16
702.44,3132.31,14.29,-17.09,219.28,13.15,-0.13
662.92,3627.64,10.43,-14.12,235.81,11.15,-0.11
624.95,4121.32,6.23,-10.77,251.69,9.60,-0.09
588.36,4612.93,1.83,-12.14,271.45,9.07,-0.08
552.96,5102.13,-2.90,-12.86,264.41,9.23,-0.07
519.35,5589.78,-7.00,-10.55,239.24,11.63,-0.05
487.85,6077.17,-9.74,-14.87,236.53,12.31,-0.05
457.73,6564.41,-12.75,-25.36,258.17,12.48,-0.04
429.25,7050.56,-16.71,-34.06,256.84,17.00,-0.03
402.83,7535.00,-20.60,-32.90,251.01,17.77,-0.03
377.76,8017.91,-24.25,-32.55,256.60,15.94,-0.02
353.90,8499.84,-27.56,-35.46,250.87,15.43,-0.02
330.70,8981.20,-31.20,-38.77,237.46,15.57,-0.01
308.33,9462.41,-34.90,-43.22,235.57,15.65,-0.01
286.60,9944.38,-38.53,-47.15,244.95,17.50,-0.01
265.78,10427.64,-42.58,-51.94,254.13,19.52,-0.01
246.84,10911.44,-46.72,-58.69,262.76,18.62,-0.01
229.59,11394.70,-50.69,-62.76,263.76,19.49,-0.00
213.47,11877.48,-54.12,-65.72,260.03,21.84,-0.00
198.60,12361.33,-56.22,-69.34,262.04,22.59,-0.00
183.30,12848.57,-58.81,-70.64,264.97,19.58,-0.00
168.87,13340.15,-61.83,-70.07,259.25,16.06,-0.00
156.29,13835.10,-63.02,-70.05,249.02,17.01,-0.00
144.07,14330.07,-64.28,-72.81,240.68,20.68,-0.00
133.33,14822.97,-64.26,-76.63,239.55,23.27,-0.00
122.70,15314.85,-64.99,-81.51,238.38,21.78,-0.00
112.75,15806.40,-65.84,-90.12,235.15,15.33,-0.00
105.00,16296.08,-65.43,-88.60,209.18,8.15,-0.00
98.04,16780.06,-66.24,-85.29,115.93,9.02,-0.00
90.64,17256.82,-68.68,-84.68,92.42,11.74,-0.00
83.26,17729.99,-69.75,-85.39,73.74,8.68,-0.00
76.47,18204.34,-69.45,-86.38,34.67,5.52,-0.00
70.76,18681.39,-67.68,-87.32,10.81,5.79,-0.00
66.17,19161.33,-63.50,-88.17,36.99,7.68,-0.00
61.31,19644.16,-61.43,-88.90,61.87,9.39,-0.00
56.17,20128.67,-62.57,-89.43,102.65,10.00,-0.00
51.26,20617.07,-61.78,-90.31,103.86,19.07,-0.00


MEM = 008
TIME = 130625/0000
STID = FP1 SLAT = 36.607 SLON = -97.488 MALT = 313.965

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
972.82,-999.00,32.81,17.91,175.99,9.22,-999.00
968.40,344.28,32.51,16.56,182.60,9.77,-0.28
960.57,418.11,31.73,16.24,183.86,11.47,-0.27
950.07,518.66,30.71,16.02,184.22,12.26,-0.26
936.99,646.53,29.46,15.79,184.23,12.72,-0.25
920.87,807.02,27.89,15.46,184.08,13.04,-0.24
900.29,1010.48,25.88,14.98,183.75,13.27,-0.22
875.10,1259.02,23.21,15.17,181.01,13.36,-0.21
850.08,1513.66,19.82,17.09,178.74,13.22,-0.19
823.21,1755.97,18.48,11.12,194.39,11.18,-0.18
799.91,2003.81,19.46,1.84,221.41,10.22,-0.16
775.02,2258.41,19.44,-2.78,239.55,11.21,-0.15
